name,plan_date,uc_id
Basti Burat Shah,14,10
Basti Burat Shah,15,10
Shakur Colony,16,10
Kamal Chashti Mor+ Jail Colony,17,10
Salim Town Defence Colony,20,10
Kot Ghulam Muhammad Khan,21,10
Roshanabad Colony,22,10
Shahbaz Road,23,10
Shahbaz Road,24,10
Kachi Abadi,27,10
Kachi Abadi+Saithi Colony,28,10
Ali Ahmad Shah Colony,29,10
Abdul Khaliq+Officer Colony,30,10
Kot Ghulam Muhammad,1,11
Kot Ghulam Muhammad,2,11
Kot Ghulam Muhammad,3,11
Androon Kot Piran,6,11
Beroon Kot Piran,7,11
Ret Chalah,8,11
Ret Chalah,9,11
Paka Qila,10,11
Roshanabad,13,11
Katal Ghari,14,11
Beroon Kot Piran,15,11
Kot Maulvi Abdul Qadir,16,11
Kot Maulvi Abdul Qadir,17,11
Niaz Nagar,20,11
Mangal Mandi,21,11
Deen Garh,22,11
Bagar Kot Androon,23,11
Bagar Kot Androon,24,11
Bagar Kot Beroon,27,11
Kot Halim Khan Androon,28,11
Kot Halim Khan Beroon,29,11
Basti Shadra+Mochi Pura,30,11
Kot Ali Garh Beroon,1,12
Kot Ali Garh Beroon,2,12
Kot Ali Garh Beroon,3,12
Kot Ali Garh Androon,6,12
Kot Ali Garh Androon,7,12
Latif Pura,8,12
Latif Pura,9,12
Latif Pura,10,12
Mehmood Pura,13,12
Mehmood Pura,14,12
Salamat Pura Androon,15,12
Salamat Pura Androon,16,12
Salamat Pura Androon,17,12
Salamat Pura Beroon,20,12
Salamat Pura Beroon,21,12
Salamat Pura Beroon,22,12
Sheray Wala Khokha,23,12
Basti Wanikan Beroon,24,12
Basti Wanikan Beroon,27,12
Basti Wanikan Beroon,28,12
Basti Wanikan Beroon,29,12
Nizam Pur,30,12
Mai Jawai,1,13
Kamil Shah,2,13
Beroon Kot Murad Khan,3,13
Beroon Kot Murad Khan,6,13
Androon Kot Murad Khan,7,13
Androon Kot Murad Khan,8,13
Androon Kot Murad Khan,9,13
Androon Kot Murad Khan,10,13
Muft Pura,13,13
Railway Colony,14,13
Mol Chand,15,13
Jamat Pur,16,13
Jamat Pur,17,13
Jamat Pur,20,13
Jamat Pur,21,13
Muhammad Nagar,22,13
Muhammad Nagar,23,13
Muhammad Nagar,24,13
Muhammad Nagar,27,13
Zulkarnain Colony,28,13
Chali Pyaray Lal,29,13
Aisi Nagar,30,13
Bhasar Pura,1,14
Bhasar Pura,2,14
Rukan Pura,3,14
Rukan Pura,6,14
Rukan Pura,7,14
Tabeh Kaduan Wala,8,14
Tabeh Kaduan Wala,9,14
Basti Sabri,10,14
Basti Sabri,13,14
Basti Sabri,14,14
Muhala Pir Bukhari,15,14
Muhala Pir Bukhari,16,14
muhala Pir Bulandi,17,14
muhala Pir Bulandi,20,14
muhala Pir Bulandi,21,14
Bhasar Pura,22,14
Bhasar Pura,23,14
Bhasar Pura,24,14
Bhasar Pura,27,14
Bhasar Pura,28,14
Bhasar Pura,29,14
Bhasar Pura,30,14
Sabri Basti,1,15
Sabri Basti,2,15
Sabri Basti,3,15
Cha Bulanday Wala,6,15
Cha Bulanday Wala,7,15
Cha Bulanday Wala,8,15
Cha Bulanday Wala,9,15
Rukan Pura,10,15
Muft Pura,13,15
Basti Charagh Shah,14,15
Basti Charagh Shah,15,15
Basti Charagh Shah,16,15
Basti Charagh Shah,17,15
Bhatta Sohan,20,15
Bhatta Sohan,21,15
Bhatta Sohan,22,15
Karmanabad,23,15
Karmanabad,24,15
Karmanabad,27,15
Chaki Piyaray Lal,28,15
Chaki Piyaray Lal,29,15
Aisi Nagar,30,15
Muri Gate,1,16
Muri Gate,2,16
Muri Gate,3,16
Kot Badrudeen,6,16
Kot Badrudeen,7,16
Kot Badrudeen,8,16
Gate Patwan wala,9,16
Gate Patwan wala,10,16
Tiba Sheikh Ameen,13,16
Tiba Sheikh Ameen,14,16
Ghosiah colony,15,16
Ghosiah colony,16,16
Ghosiah colony,17,16
Balay Shah Colony,20,16
Balay Shah Colony,21,16
Kot Usman Khan,22,16
Kot Usman Khan,23,16
Kot Usman Khan,24,16
Kot Usman Khan,27,16
Karishna Nagar,28,16
Rara Gugran,29,16
Muhala Aisaian,30,16
Dhampat Road,1,17
Dusehra Ground,2,17
Mandir Hari Har ,3,17
Kot Rukandeen,6,17
Chapar Kanda,7,17
Nafees Colony,8,17
Nafees Colony,9,17
Nafees Colony,10,17
Basti Lal Shah,13,17
Basti Lal Shah,14,17
Basti Lal Shah,15,17
Basti Lal Shah,16,17
Azhar Colony,17,17
Santook Sar,20,17
Shah Inayat Colony,21,17
Shah Inayat Colony,22,17
Pakiza Colony,23,17
Khadimabad,24,17
Yousuf Shah Town,27,17
Mushtaq Colony,28,17
Mushtaq Colony,29,17
Basti Islamabad,30,17
Daftooh Village,1,18
Beroon Mustafabad,2,18
Beroon Mustafabad,3,18
Daftooh ,6,18
Daftooh ,7,18
Daftooh ,8,18
Daftooh ,9,18
Daftooh ,10,18
Daftooh ,13,18
Daftooh ,14,18
Daftooh ,15,18
Satuki,16,18
Satuki,17,18
Satuki,20,18
Satuki,21,18
Satuki,22,18
Satuki,23,18
Beroon Mustafabad,24,18
Beroon Mustafabad,27,18
Beroon Mustafabad,28,18
Beroon Mustafabad,29,18
Beroon Mustafabad,30,18
Kacha Paka Qilan,1,19
Kacha Paka Qilan,2,19
Adda Kacha Paka,3,19
Adda Kacha Paka,6,19
Nandan Pura,7,19
Kacha Paka Khurd,8,19
Verm Hithar,9,19
Verm Hithar,10,19
Verm Hithar,13,19
Verm Hithar,14,19
Jagu Wala,15,19
Jagu Wala,16,19
Khirm Hithar,17,19
Sherut,20,19
Dholan Hithar,21,19
Dholan Hithar,22,19
Dholan Hithar,23,19
Dholan Hithar,24,19
Dholan Hithar,27,19
Dholan Hithar,28,19
Dholan Hithar Mandi,29,19
Dholan Hithar Mandi,30,19
Jora,1,20
Jora,2,20
Jora,3,20
Jora,6,20
Jora,7,20
Nurpur Dogran,8,20
Nurpur Dogran Beroon,9,20
Fateh Pur,10,20
Fateh Pur,13,20
Dost Pura,14,20
Dost Pura,15,20
Dost Pura Beroon,16,20
Saad Village,17,20
Saad Village,20,20
Saad Village,21,20
Saad Village,22,20
Kot Bhag Deen,23,20
Kot Muhammad Hussain Wala,24,20
Kot Haji Wala,27,20
Kot Jalal-ud-Din,28,20
Kot Kalsan Wala+Tilian Wala,29,20
Bulandi,30,20
Jagian Kalan,1,21
Jagian Khord,2,21
Jagian Muft Pura,3,21
Jagian Mashmulajat,6,21
Beto,7,21
Beto,8,21
Sudewal,9,21
Sudewal Beroon,10,21
Thathi Usman,13,21
Thathi Usman,14,21
thathi Baksh,15,21
Kot Orha Wali,16,21
Thathi Baksh Beroon,17,21
Meman Kalan+ Khord,20,21
Gaho Jamoon,21,21
Chabar Kalan,22,21
Chabar Khord,23,21
Goharh,24,21
Goharh Beroon,27,21
Tara Garh,28,21
Tara Garh Beroon,29,21
Muft Pura,30,21
Ramiana,1,22
Ramiana,2,22
Panjan Wali,3,22
Tarkhana Wali,6,22
Cha Road Singh+Sahari Otar,7,22
Belaqa Singh+Sahar Hithar,8,22
Belaqa Singh,9,22
Ajaib Singh,10,22
Teekhan Wali,13,22
Pharian Wali,14,22
Tabay Sialan,15,22
Bhatta Jaat,16,22
Tarkhana Wali Number 2,17,22
Nand ka Takia,20,22
Nand ka Takia,21,22
Padhana Wali,22,22
Subay Wali Dhari,23,22
Bhala,24,22
Dogar Kot,27,22
Bhatta Jaat Sahari Road,28,22
Sahri Hithar,29,22
Sahari Otar,30,22
Hussain Khan Wala,1,23
Hussain Khan Wala,2,23
Hussain Khan Wala,3,23
Hussain Khan Wala,6,23
Ratnay Wala Kalan,7,23
Ratnay Wala Kalan,8,23
Raji Wala Jatan,9,23
Bhedan Usman Wala,10,23
Bhedan Usman Wala,13,23
Membay Kay,14,23
Basti Chabeel Wali,15,23
Noori Wala,16,23
Noori Wala,17,23
Alwala,20,23
Alwala,21,23
Bhagay Hatad,22,23
Bhagay Hatad,23,23
Chabar Chok,24,23
Bin Bodlah Khord,27,23
Bin Bodlah Khord,28,23
Sheikh Amad,29,23
Thathi Fareed+Rangay Wala,30,23
Gadoki Village,1,24
Gadoki Village,2,24
Katluhi Kalan,3,24
Jiwan Singh,6,24
Amreek Singh,7,24
Amreek Singh,8,24
Sarhali Khord,9,24
Sarhali Khord,10,24
Basti Gharib,13,24
Pathan Wala,14,24
Wadara,15,24
Wadara Village,16,24
Bhatta Jaat Wadara,17,24
Katluhi Khord,20,24
Katluhi Khord,21,24
Ramzanabad,22,24
Greent Kot,23,24
Greent Kot,24,24
Sardar Dhan Singh+Basti Gangala,27,24
Shammabad,28,24
Shammabad,29,24
Hafizabad+Rehmatabad,30,24
Khai Hithar,1,25
Khai Hithar,2,25
Sanda Kalan,3,25
Sanda Kalan,6,25
Sanda Marlay,7,25
Rajo Wal Kehna,8,25
Rajo Wal Kehna,9,25
Sikandar Pura,10,25
Sikandar Pura Bhatta Jaat,13,25
Khoday,14,25
